id,perk_id,name,type,effect
1,1,Extra Slot,Minor,Equip a second minor augment.
2,1,Dead Point,Major,Bullets deal bonus damage to enemies within Point Blank range.
3,1,Dead Heat,Minor,Temporarily increase your movement speed after getting a Point Blank Kill with a gun.
4,1,Dead Set,Minor,"Reduce gun movement while performing advanced movement (jumping, with a faster sprint-out time)."
5,1,Dead Draw,Minor,Reduce hip-fire spread.
6,1,Dead Break,Minor,Increase damage to armor pieces.
7,1,Dead Again,Major,Critical hits have a chance of adding a bullet to your magazine. Adjustment: A slight cooldown has been added.
8,1,Dead First,Major,Bullets deal double Critical Damage if an enemy is at full health.
9,1,Dead Head,Major,Further increase Deadshot Daiquiri's Critical Damage Bonus for guns.
10,2,Extra Slot,Minor,Equip a second minor augment.
11,2,Sixth Sense,Major,See enemies close behind you and take less damage from behind.
12,2,Hidden Gems,Minor,Death Perception can now see loot.
13,2,Further Insight,Minor,See enemies through walls from farther away.
14,2,Extra Charge,Minor,Find extra Essence under more locations.
15,2,Bird's Eye View,Minor,The minimap's scan rate is increased.
16,2,Critical Eye,Major,Body shots with bullet weapons have a chance to deal Critical Damage.
17,2,Death Stare,Major,Your Elemental Weakness damage has a chance to kill an enemy that is low on health.
18,2,Treasure Hunter,Major,Spot items others can miss from loot containers as well as Special and Elite kills.
19,3,Extra Slot,Minor,Equip a second minor augment.
20,3,Double Dealer,Major,Every 4th bullet in your weapon magazine deals double damage.
21,3,Double Caliber,Minor,Bullet Weapons have increased penetration through enemies.
22,3,Double Play,Minor,Killing 2 enemies in quick succession has a chance of returning 2 rounds to your magazine.
23,3,Double or Nothing,Minor,Weapons have a chance to do double damage but also have a chance to do no damage.
24,3,Double Time,Minor,Further increase weapon fire rate.
25,3,Double Standard,Major,All non-critical shots do double damage.
26,3,Double Impact,Major,Every other successive hit on the same target deals bonus damage.
27,3,Double Jeopardy,Major,Normal zombies at low health have a chance to die immediately when shot.
28,4,Extra Slot,Minor,Equip a second minor augment.
29,4,Rainbow Pop,Major,Weapons with an Ammo Mod equipped has a chance to deal Elemental Damage that an enemy is weak to.
30,4,Refresh Mint,Minor,Killing a Special or Elite Enemy with its Elemental Weakness resets your Elemental Pop cooldown.
