id,name,rarity,color,essence_value,pattern,activation_type,zombies_effect,doa4_effect,duration,short_description,gum_type,icon_url,recyclable,synergy,tags,sort_order
1,Aftertaste,Rare,Blue,500,Conditional,On Revive,Keep all your Perks after being revived.,"On your next death, you retain your shields and chickens.",,Retain all perks after revive.,New,/assets/gobblegums/after_taste.webp,1,Perkaholic,"perk_protection,revive,survival,late_round,safety,objective_support",1
2,Kill Joy,Rare,Blue,500,Instant,On Use,Spawns an Insta-Kill Power-Up.,Activates Insta-Kill for 60 seconds. Bosses are unaffected.,,Creates an Insta-Kill power-up instantly.,Returning,/assets/gobblegums/kill_joy.webp,1,Who's Keeping Score?,"insta_kill,powerup,offensive,revive_support,objective_push,essence_gain",2
3,Cache Back,Rare,Blue,500,Instant,On Use,Spawns a Max Ammo Power-Up.,Grants a max-level Ray Gun with unlimited ammo for 15 seconds.,,Spawns a Max Ammo immediately.,Returning,/assets/gobblegums/cache_back.webp,1,,"max_ammo,powerup,ammo_sustain,team_support,resource_management",3
4,Temporal Gift,Rare,Blue,500,Conditional,On Next Time-Based Power-Up,The next time-based Power-Up you activate lasts longer.,The next Power-Up lasts twice as long and can stack with Fate of Fortune.,,Extends the duration of your next timed Power-Up.,Returning,/assets/gobblegums/temporal_gift.webp,1,Fate of Fortune,"powerup_extension,conditional,utility,solo_support,team_buff",4
5,Stock Option,Rare,Blue,500,Timed,On Use,"For 60 seconds, ammo is taken directly from your stockpile instead of your weapon’s magazine.",Grants an Ammo pickup that increases your weapon level and prevents ammo drain for 15 seconds.,60 seconds,Ammo pulls from reserve instead of the magazine.,Returning,/assets/gobblegums/stock_option.webp,1,"Arsenal Accelerator, Insta-Kill","timed,ammo,fire_rate,aggressive_play,lmg_synergy,panic_button",5
6,Anywhere But Here,Rare,Blue,500,Instant,On Use,Instantly teleports you to a random location and releases a concussive blast that repels nearby zombies.,Grants a chicken companion for five minutes. Can be activated once every ten minutes.,,Instantly teleport and blast away nearby zombies.,Returning,/assets/gobblegums/anywhere_but_here.webp,1,,"escape,panic_button,teleport,mobility,survival,regroup",6
7,Power Keg,Rare,Blue,500,Instant,On Use,"Spawns a Full Power Power-Up, instantly restoring your Field Upgrade.","For 60 seconds, beneficial concussive waves periodically erupt at your location.",,Spawns Full Power for instant Field Upgrade charge.,Returning,/assets/gobblegums/power_keg.webp,1,Arsenal Accelerator,"field_upgrade,instant,powerup,team_support,revive_support,crowd_control,utility",7
8,Tactical Diffusion,Rare,Blue,500,Conditional,On Nuke Power-Up,The next Nuke Power-Up you activate does not explode and instead grants all players 2000 Essence.,"For the next 90 seconds, each Nuke used (up to three) grants $2,000 for the Slayer Mart.",,Disables the next Nuke and converts it into bonus Essence.,Returning,/assets/gobblegums/tactical_diffusion.webp,1,Double Points,"essence_gain,conditional,nuke_conversion,economy,early_game_boost,team_support",8
9,Arsenal Accelerator,Rare,Blue,500,Timed,On Use,"For 5 minutes, your Field Upgrade charges significantly faster.",Deploys three Energy Mines within 30 seconds.,5 minutes,Speeds up Field Upgrade charge rate.,Returning,/assets/gobblegums/arsenal_accelerator.webp,1,Power Keg,"field_upgrade,charge_rate,timed,team_support,solo_support,utility,objective_play",9
10,Shields Up,Rare,Blue,500,Timed,On Use,Refills your armor and doubles its strength for 3 minutes.,Grants a Barrel & Sawblade item lasting five minutes or until replaced or death.,3 minutes,Refills armor and doubles its durability.,Returning,/assets/gobblegums/shields_up.webp,1,Nowhere But There!,"armor,tank,timed,survivability,solo_support,revive_support,escape_tool",10
11,Requipment,Epic,Purple,1250,Timed,On Use,"For 5 minutes, your Equipment slots automatically refill over time.",Grants a random combination of four Nukes and Boosts.,5 minutes,Your equipment slowly refills over time.,New,/assets/gobblegums/requipment.webp,1,Vulture Aid,"equipment_reload,utility,timed,resource_efficiency,solo_support,directed_mode_support",11
12,Power Vacuum,Epic,Purple,1250,Timed,On Use,"For 5 minutes, kills have an increased chance to drop Power-Ups.","For 5 minutes, enemies have a small chance to drop useful items on death.",5 minutes,Increases Power-Up drops from kills.,New,/assets/gobblegums/power_vacuum.webp,1,Power-Up based GobbleGums,"powerup_farm,timed,resource_gain,team_support,round_management,loot_increase",12
13,Respin Cycle,Epic,Purple,1250,Instant,On Use,Re-spins the Mystery Box weapon to one of equal or higher rarity after it settles.,Awards either a helicopter or tank vehicle item.,,Re-rolls settled Mystery Box weapon to same or higher rarity.,Returning,/assets/gobblegums/respin_cycle.webp,1,"Crate Power, Wonderbar!","mystery_box,weapon_upgrade,instant,luck,early_game,essence_saving",13
14,Dead Drop,Epic,Purple,1250,Timed,On Use,"For 5 minutes, Salvage and Equipment drop rates are greatly increased.","For 5 minutes, weapon drops occur roughly five times more often.",5 minutes,"Boosts Salvage, Equipment, and drop frequency.",Returning,/assets/gobblegums/dead_drop.webp,1,Vulture Aid (Picky Eater Augment),"salvage_farm,loot_increase,timed,resource_gain,equipment_spam,prep_tool",14
15,Who's Keeping Score?,Epic,Purple,1250,Instant,On Use,Spawns a Double Points Power-Up.,"For 5 minutes, treasure spawns at roughly five times the normal rate.",,Instantly summons Double Points.,Returning,/assets/gobblegums/whos_keeping_score.webp,1,"Kill Joy, Tactical Diffusion","double_points,essence_farm,powerup,early_game_boost,instant,resource_gain",15
16,Free Fire,Epic,Purple,1250,Timed,On Use,"For 60 seconds, firing weapons consumes no ammo. Does not affect Wonder Weapons or Underbarrel Launchers.","For 60 seconds, firing weapons does not consume ammo.",60 seconds,Shoot freely for 60 seconds with no ammo cost.,Returning,/assets/gobblegums/free_fire.webp,1,"High-capacity weapons, Pack-a-Punch","ammo_free,damage_boost,timed,horde_clear,panic_button,survival",16
17,Exit Strategy,Epic,Purple,1250,Instant,On Use,Immediately triggers an Exfil vote and reduces zombie spawns during Exfil.,"For 30 minutes, chicken eggs hatch extra coins.",,Instantly start Exfil with reduced zombie spawns.,Returning,/assets/gobblegums/exit_strategy.webp,1,"XP farming, Daily Challenges","exfil,objective_skip,instant,escape,round_management,xp_gain",17
18,Profit Sharing,Epic,Purple,1250,Timed,On Use,"For 2 minutes, a portion of the Essence you earn is shared with nearby teammates and vice versa.","For 30 minutes, chicken eggs hatch additional cash shared evenly across all teammates.",2 minutes,Share Essence gains with teammates nearby.,Returning,/assets/gobblegums/profit_sharing.webp,1,"Double Points, Gift Card","team_support,essence_share,economy,timed,coop_boost,resource_gain",18
19,Explosive Flourish,Epic,Purple,1250,Timed,On Use,"For 2 minutes, reloading triggers an explosion around you that damages nearby enemies.",Equips the player with a max-power RPG and grants unlimited ammo for 2 minutes.,2 minutes,Reloads trigger damaging explosions around you.,Returning,/assets/gobblegums/explosive_flourish.webp,1,"Speed Cola, Elemental Pop (Electric Cherry)","reload_damage,area_control,timed,panic_button,horde_control,close_range_combat",19
20,Soda Fountain,Epic,Purple,1250,Conditional,On Next Perk Purchase,The next Perk you buy grants an additional random Perk you don't already own.,"For up to 5 minutes, item spawns occur around four times more frequently.",,Next perk purchase gives an extra random perk.,Returning,/assets/gobblegums/soda_fountain.webp,1,Perkaholic,"perk_gain,power_spike,conditional,early_game,comeback_tool,essence_saving",20
21,Nowhere But There,Epic,Purple,1250,Instant,On Use,Instantly teleport to a random downed teammate and instantly revive all nearby players.,"All players receive minimum respawn boosts and Nukes, downed players are revived, all Field Upgrades recharge, and Fate bonuses (Feet & Shield) are honored.",,Teleport to a downed teammate and revive nearby allies.,Returning,/assets/gobblegums/nowhere_but_there.webp,1,"Shields Up, Quick Revive","revive,team_support,instant,teleport,clutch_save,high_risk",21
22,Round Off,Legendary,Orange,3000,Conditional,On Round Transition,Prevents rounds from advancing for two rounds after the next round transition.,Ends the currently active round if under round 60. Has a 30-minute cooldown.,2 rounds,Stops round progression for two rounds.,New,/assets/gobblegums/round_off.webp,1,"Quest steps, Puzzle phases","round_control,conditional,breathing_room,solo_support,group_planning,objective_focus",22
23,Armor Gettin’,Legendary,Orange,3000,Instant,On Use,Instantly grants a three-plate Armor Vest and full plates.,"Grants a one-plate Armor Vest with full plates, or if already equipped, awards a full refill of plates.",,Instant full armor with a three-plate vest.,New,/assets/gobblegums/armor_gettin.webp,1,"Shields Up, Jugger-Nog","armor,instant,tank,survival,starter_loadout,solo_friendly",23
24,Idle Eyes,Legendary,Orange,3000,Timed,On Use,"For 30 seconds, all zombies ignore players and stand idle.",All zombies ignore players and stand idle for 30 seconds.,30 seconds,Zombies ignore all players for 30 seconds.,Returning,/assets/gobblegums/idle_eyes.webp,1,"Quick Revive, Round Off","crowd_control,timed,panic_button,revive_tool,objective_focus,solo_friendly",24
25,Wall Power,Legendary,Orange,3000,Conditional,On Next Wall Buy,The next weapon purchased from a wall is automatically Pack-A-Punched.,"For one round, electric poles do not damage the player.",,Next Wall Buy weapon comes Pack-A-Punched.,Returning,/assets/gobblegums/wall_power.webp,1,Cache Back,"weapon_upgrade,conditional,early_power_spike,ammo_efficient,wallbuy_synergy,pp_support",25
26,Flavor Hex,Legendary,Orange,3000,Instant,On Use,Awards a random Ultra GobbleGum.,Awards a random Ultra GobbleGum.,,Grants a random Ultra GobbleGum.,Returning,/assets/gobblegums/flavor_hex.webp,1,Ultra GobbleGums,"random,instant,high_risk,high_reward,power_spike,luck_based",26
27,Immolation Liquidation,Legendary,Orange,3000,Instant,On Use,Spawns a Fire Sale Power-Up.,"For 5 minutes, Holy Brimstone rains down onto enemies.",,Summons a Fire Sale instantly.,Returning,/assets/gobblegums/immolation_liquidation.webp,1,Who's Keeping Score?,"fire_sale,instant,box_farming,weapon_hunting,team_coordination,early_game_power",27
28,Support Group,Legendary,Orange,3000,Instant,On Use,"Grants ARC-XD, then Mangler Cannon, then Sentry Gun, then Disciple Injection in sequence.","For 5 minutes, only Cymbal Monkeys spawn as items during arena gameplay. Other item types are unaffected.",,Grants a sequence of powerful Support items: ARC-XD → Mangler Cannon → Sentry Gun → Disciple Injection.,Returning,/assets/gobblegums/support_group.webp,1,"Power Keg, Arsenal Accelerator","support_items,boss_damage,instant,power_spike,quest_tool,burst_dps",28
29,Phoenix Up,Legendary,Orange,3000,Instant,On Use,Instantly revives all teammates and allows them to keep all their Perks.,Grants yourself and all teammates one extra life.,,"Revives all teammates instantly, preserving their Perks.",Returning,/assets/gobblegums/phoenix_up.webp,1,"Quick Revive, Nowhere But There","revive,team_support,instant,perk_protection,clutch_save,full_team_recovery",29
30,Modified Chaos,Legendary,Orange,3000,Timed,On Use,Greatly reduces all Ammo Mod cooldowns for 1 minute.,Greatly reduces all Ammo Mod cooldowns for 1 minute.,1 minute,Greatly reduces all Ammo Mod cooldowns for 1 minute.,Returning,/assets/gobblegums/modified_chaos.webp,1,"Elemental Pop (Chill Berry Augment), Ammo Mods","ammo_mods,damage_boost,timed,elemental_synergy,boss_fights,horde_control",30
31,On the House,Legendary,Orange,3000,Instant,On Use,Spawns a random Perk Power-Up that grants a free Perk to all players.,Purchasing from the Slayer Mart grants one extra random item of any value.,,Spawns a free random Perk for the whole team.,Returning,/assets/gobblegums/on_the_house.webp,1,"Soda Fountain, Perkaholic","perk_gain,team_buff,instant,free_perk,essence_saving,mid_game_power",31
32,Wall to Wall Clearance,Legendary,Orange,3000,Timed,On Use,"For 30 seconds, all Wall Buy weapons cost only 10 Essence.","For 2 minutes, a free Nuke deploys on your position every 10 seconds.",30 seconds,Wall Buys cost only 10 Essence for 30 seconds.,Returning,/assets/gobblegums/wall_to_wall_clearance.webp,1,"Wall Power, Who’s Keeping Score?","economy,wallbuy_discount,team_saving,timed,early_game_power,resource_efficiency",32
33,Crate Power,Legendary,Orange,3000,Conditional,On Next Mystery Box Spin,The next weapon taken from the Mystery Box is automatically Pack-A-Punched.,"On your next death, you do not lose your gems.",,Next Mystery Box pull becomes Pack-A-Punched.,Returning,/assets/gobblegums/crate_power.webp,1,"Immolation Liquidation, Time Out","mystery_box,weapon_upgrade,conditional,early_game_power,fire_sale_synergy,pap_boost",33
34,Gift Card,Ultra,Red,5000,Instant,On Use,"Instantly grants 30,000 Essence. Cannot be combined with other bonuses.","Grants $30,000 to spend in the Slayer Mart.",,"Instantly gain 30,000 Essence.",New,/assets/gobblegums/gift_card.webp,1,Hidden Power,"economy,instant,ultra,essence_boost,comeback,high_value",34
35,Perkaholic,Ultra,Red,5000,Instant,On Use,Grants the player every available Perk instantly.,"Awards a random Field Upgrade, a random Ammo Mod, a Level 1 Armor Vest, and a 30-minute Chicken.",,Instantly receive all available Perks.,Returning,/assets/gobblegums/perkaholic.webp,1,"Hidden Power, Shields Up","perk_full_loadout,instant,ultra,comeback,early_power,synergy_boost",35
36,Wonderbar!,Ultra,Red,5000,Conditional,On Next Mystery Box Spin,The next weapon taken from the Mystery Box is guaranteed to be a Wonder Weapon.,"For 30 minutes, at the start of each round, flip a coin to either become a Mutant or receive a Chicken.",,Next Mystery Box pull becomes a Wonder Weapon.,Returning,/assets/gobblegums/wonderbar.webp,1,"Crate Power, Respin Cycle, Immolation Liquidation","wonder_weapon,conditional,ultra,mystery_box,boss_fight_ready,quest_synergy,fire_sale_combo",36
37,Time Out,Ultra,Red,5000,Timed,On Activation,"For 3 minutes, all Normal and Special enemies are cleared, the round ends, and no new enemies spawn during the duration.","For 30 minutes, within 30 seconds of each new Arena round, a free Nuke Bomb drops at your position.",3 Minutes,Clears enemies and stops spawning for 3 minutes.,Returning,/assets/gobblegums/time_out.webp,1,"Crate Power, Hidden Power, Perk purchases, Der Wunderfizz routing","ultra,timed,round_control,safe_window,revives,shopping_phase,der_wunderfizz",37
38,Near Death Experience,Ultra,Red,5000,Timed,On Activation,"For 3 minutes or up to 5 revives, players can revive or be revived instantly by standing near each other. Revived players retain all their Perks.","For each Nuke dropped in the next 10 seconds, gain an extra life.",3 Minutes (or 5 Revives),Instant proximity revives that preserve all Perks.,Returning,/assets/gobblegums/near_death_experience.webp,1,"Phoenix Up, Shields Up, Revive-focused builds, High round boss fights","ultra,timed,revives,perk_protection,team_support,high_round,boss_fight",38
39,Reign Drops,Ultra,Red,5000,Instant,On Activation,"Spawns all core Power-Ups at once, including Insta-Kill, Max Ammo, Double Points, Full Armor, Random Perk, Fire Sale, Full Power, Bonus Points, and Nuke.","At the next Slayer Mart store, all items have a random discount between 20% and 50%.",,Instantly spawns every major Power-Up at once.,Returning,/assets/gobblegums/reign_drops.webp,1,"Main Quest steps, early-game setup, Fire Sale chains, survival emergencies","ultra,instant,powerups,team_support,setup,main_quest,panic_button",39
40,Hidden Power,Ultra,Red,5000,Instant,On Activation,Instantly upgrades your currently held weapon to Legendary rarity.,"For 10 minutes, every weapon picked up has maximum power.",,Instantly upgrades your current weapon to Legendary quality.,Returning,/assets/gobblegums/hidden_power.webp,1,"Wall Power, Perkaholic, early-game snowball, main quest prep","ultra,instant,weapon_upgrade,legendary,early_power_spike,loadout_synergy",40
41,Newtonian Negation,Whimsical,Rainbow,100,Timed,On Activation,Zombies killed will float upward instead of falling normally.,Same humorous effect applies.,,Zombies float upward when killed.,Returning,/assets/gobblegums/newtonian_negation.webp,1,,"whimsical,fun,cosmetic,timed,visual_effect",41
42,Indiegestion,Whimsical,Rainbow,100,Timed,On Activation,Zombies release exaggerated flatulence effects when killed.,Same humorous visual gag effect applies.,,Zombies emit goofy flatulence effects when killed.,Returning,/assets/gobblegums/indiegestion.webp,1,,"whimsical,fun,cosmetic,humor,timed",42
43,Rainburps,Whimsical,Rainbow,100,Timed,On Activation,Zombies belch sparkly rainbow bubbles upon death.,Same humorous rainbow bubble effect applies.,,Zombies release rainbow bubble bursts when killed.,Returning,/assets/gobblegums/rainburps.webp,1,,"whimsical,cosmetic,fun,visual_effect,timed",43
44,Quacknarok,Whimsical,Rainbow,100,Timed,On Activation,"Zombies wear rubber ducky inner tubes, adding a humorous visual twist.",Same comedic appearance effect applies.,,Zombies appear wearing rubber ducky float tubes.,Returning,/assets/gobblegums/quacknarok.webp,1,,"whimsical,fun,visual_effect,cosmetic,timed,duck_theme",44
45,Die Pitched,Whimsical,Rainbow,100,Timed,On Activation,Zombies emit high-pitched comedic voices as they approach and attack.,Same humorous high-pitch voice effect applies.,,Zombies speak and scream in high-pitched voices.,Returning,/assets/gobblegums/die_pitched.webp,1,,"whimsical,fun,audio_effect,cosmetic,timed,high_pitch",45
46,Holiday Cheer,Whimsical,Rainbow,100,Timed,On Activation,"Zombies appear with festive decorations, adding a fun holiday-themed visual flair.",Same festive cosmetic effect applies.,,Gives zombies goofy holiday-themed decorations.,Returning,/assets/gobblegums/holiday_cheer.webp,1,,"whimsical,holiday,cosmetic,fun,visual_effect,timed",46
