id,name,location,effect,icon_url,bottle_url,recipe_url
1,Deadshot Daiquiri,Exit 115,Crit damage to zombies is increased. Aiming down the sights finds crit area automatically.,/assets/perk_a_cola/icons/deadshot_daiquiri.png,/assets/perk_a_cola/bottle/deadshot_daiquiri.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
2,Death Perception,Vandorn Farm,Enemy auras show through walls.,/assets/perk_a_cola/icons/death_perception.png,/assets/perk_a_cola/bottle/death_perception.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
3,Double Tap,Ashwood,Weapon base rate of fire is increased.,/assets/perk_a_cola/icons/double_tap.png,/assets/perk_a_cola/bottle/double_tap.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
4,Elemental Pop,Exit 115,Gain a chance to get a random Ammo Mod when firing.,/assets/perk_a_cola/icons/elemental_pop.png,/assets/perk_a_cola/bottle/elemental_pop.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
5,Jugger-Nog,Ashwood,Increase maximum health (from 150 to 250).,/assets/perk_a_cola/icons/jugger_nog.png,/assets/perk_a_cola/bottle/jugger_nog.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
6,Melee Macchiato,Blackwater Lake,"Instead of punching with the gun butt during a melee attack, send zombies flying with a powerful punch.",/assets/perk_a_cola/icons/melee_macchiato.png,/assets/perk_a_cola/bottle/melee_macchiato.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
7,PHD Flopper,Zarya Cosmodrome,"Gain immunity to all self-inflicted damage and status effects. Trigger and explosion when you dive-to-prone, which is buffed the further you fall. Gain immunity to fall damage.",/assets/perk_a_cola/icons/phd_flopper.png,/assets/perk_a_cola/bottle/phd_flopper.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
8,Quick Revive,Janus Towers Plaza,Health regen delay is reduced by 50%. Time taken to revive allies is reduced by 50%.,/assets/perk_a_cola/icons/quick_revive.png,/assets/perk_a_cola/bottle/quick_revive.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
9,Speed Cola,Blackwater Lake,Reload and armor plating speed is increased by 30%.,/assets/perk_a_cola/icons/speed_cola.png,/assets/perk_a_cola/bottle/speed_cola.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
10,Stamin-Up,Vandorn Farm,Movement speed is increased.,/assets/perk_a_cola/icons/stamin_up.png,/assets/perk_a_cola/bottle/stamin_up.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
11,Vulture Aid,Ashwood,"Loot variety increases, enemies can drop more Essence Vials and ammo.",/assets/perk_a_cola/icons/vulture_aid.png,/assets/perk_a_cola/bottle/vulture_aid.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
12,Wisp Tea,Zarya Cosmodrome,A Wisp is summoned and deals damage to zombies.,/assets/perk_a_cola/icons/wisp_tea.png,/assets/perk_a_cola/bottle/wisp_tea.png,/assets/perk_a_cola/recipe/deadshot_daiquiri.png
