id  ,weapon_id,badge_level,mp_kills_required,zm_kills_required
1,1,badge_1,100,500
2,1,badge_2,250,1500
3,1,mastery,500,3000
4,3,badge_1,100,500
5,3,badge_2,250,1500
6,3,mastery,500,3000
7,4,badge_1,100,500
8,4,badge_2,250,1500
9,4,mastery,500,3000
10,6,badge_1,100,500
11,6,badge_2,250,1500
12,6,mastery,500,3000
13,2,badge_1,100,500
14,2,badge_2,250,1500
15,2,mastery,500,3000
16,5,badge_1,100,500
17,5,badge_2,250,1500
18,5,mastery,500,3000
19,7,badge_1,100,500
20,7,badge_2,250,1500
21,7,mastery,500,3000
22,8,badge_1,100,500
23,8,badge_2,250,1500
24,8,mastery,500,3000
25,9,badge_1,100,500
26,9,badge_2,250,1500
27,9,mastery,500,3000
28,10,badge_1,100,500
29,10,badge_2,250,1500
30,10,mastery,500,3000
31,11,badge_1,100,500
32,11,badge_2,250,1500
33,11,mastery,500,3000
34,12,badge_1,100,500
35,12,badge_2,250,1500
36,12,mastery,500,3000
37,13,badge_1,100,500
38,13,badge_2,250,1500
39,13,mastery,500,3000
40,14,badge_1,100,500
41,14,badge_2,250,1500
42,14,mastery,500,3000
43,15,badge_1,100,500
44,15,badge_2,250,1500
45,15,mastery,500,3000
46,16,badge_1,100,500
47,16,badge_2,250,1500
48,16,mastery,500,3000
49,17,badge_1,100,500
50,17,badge_2,250,1500
51,17,mastery,500,3000
52,18,badge_1,100,500
53,18,badge_2,250,1500
54,18,mastery,500,3000
55,19,badge_1,100,500
56,19,badge_2,250,1500
57,19,mastery,500,3000
58,20,badge_1,100,500
59,20,badge_2,250,1500
60,20,mastery,500,3000
61,21,badge_1,100,500
62,21,badge_2,250,1500
63,21,mastery,500,3000
64,22,badge_1,100,500
65,22,badge_2,250,1500
66,22,mastery,500,3000
67,23,badge_1,100,500
68,23,badge_2,125,1500
69,23,mastery,250,3000
70,24,badge_1,100,500
71,24,badge_2,125,1500
72,24,mastery,250,3000
73,25,badge_1,100,500
74,25,badge_2,125,1500
75,25,mastery,250,3000
76,26,badge_1,25,500
77,26,badge_2,50,1500
78,26,mastery,100,3000
79,27,badge_1,25,500
80,27,badge_2,50,1500
81,27,mastery,100,3000
82,28,badge_1,50,500
83,28,badge_2,100,1500
84,28,mastery,250,3000
85,29,badge_1,50,500
86,29,badge_2,100,1500
87,29,mastery,250,3000
